,incontext_loss,incontext_acc,incontext_top_k_categorical_accuracy,outofcontext_loss,outofcontext_acc,outofcontext_top_k_categorical_accuracy,alldata_loss,alldata_acc,alldata_top_k_categorical_accuracy
0,0.2958102309151201,0.945364238410596,0.9772350997324811,1.555920421522101,0.6308076825755657,0.8510779029345222,1.491492991295416,0.646875906936604,0.8575396990172083
1,0.44008938917731766,0.9025598683207612,0.9649050359288884,1.5483358677662538,0.6325715598936722,0.8515951360263937,1.4914958005847265,0.6464198349972231,0.8574153157509037
2,0.6105362855835467,0.8605132454278454,0.9470198683391343,1.5375639451095158,0.6349634157415732,0.852536773930447,1.4897974698795322,0.646585679372066,0.8574153157138346
3,0.6443377754439605,0.8511247434499074,0.9447852765124268,1.5386622693425227,0.6352663398969647,0.8529283700754028,1.49243365112953,0.6464198349799242,0.8576848128501384
4,0.8328690254135307,0.8106978678623603,0.928541580404241,1.519773128759017,0.6387448773160267,0.8542109938872784,1.484035581358976,0.647684398241722,0.8580786932082639
5,0.8336879857381185,0.801666665871938,0.9229166666666667,1.523828846856621,0.6387015334326626,0.8537014361141149,1.4879342776447235,0.6471868651023654,0.8573116630116843
6,0.9366383399800575,0.7745783614896541,0.9148498573993665,1.5118888096709855,0.6402335065645016,0.8551389027917768,1.481662722901971,0.6473112484452795,0.8582859986545761
7,1.0695188581000556,0.7406328056972291,0.9084096592133687,1.507649889243033,0.6416470920086254,0.8550450160671585,1.4843365344851362,0.6469380986463659,0.857871387747124
8,1.2016486565272013,0.719583334128062,0.8845833325386048,1.493636810305035,0.6438531210782908,0.8570463685708721,1.4776724771389869,0.6479746258062601,0.8585762261993439
9,1.1895946950148752,0.6977412719501362,0.8985626280674944,1.4927133159823132,0.6455085605363556,0.8566962497032756,1.4761072138835702,0.6484721589307889,0.858949375956246
10,1.3840981357834665,0.678347934893782,0.8698372971678358,1.4883514992009663,0.6457139373993721,0.8570418101630559,1.4817709968953916,0.6476843982466646,0.8578299266583558
11,1.2528643473884127,0.7106788075522871,0.8870033104688126,1.5147945041261124,0.6399871873924612,0.8542983082657971,1.500294294986585,0.6438699779638412,0.8560885608732525
12,1.4864101612230705,0.6268718800013157,0.8731281196019812,1.4793784619582047,0.6485064835106611,0.8572995750916508,1.4783515876895126,0.6477673204242009,0.8582445375287387
13,1.677600323739132,0.5972165382157277,0.835448219743948,1.464383291043964,0.6498302925933824,0.8598235520566948,1.4735785287294159,0.647560014898808,0.858762801118571
14,1.646626666659325,0.5944259557470108,0.8535773704531983,1.4726445970915658,0.6493776424694909,0.8580278213344247,1.4800123768988778,0.6469588291882786,0.8579543098258094
15,1.850735832610595,0.545378849766435,0.8230641123456423,1.4549993141767148,0.6526257219501599,0.8606823792135895,1.4734348630009562,0.6476014760295878,0.8589493760180279
16,2.1060338408447974,0.5120431889727266,0.8023255819894151,1.4432221874451034,0.6550177000569524,0.8615293962806116,1.4749885173454633,0.6482026618340254,0.8587213400471018
17,1.9598727869072023,0.49165275439197115,0.8167779624760648,1.4350961890709517,0.6578682687781172,0.8625478080686739,1.4600399023976767,0.649881835872298,0.860400514065604
18,2.6329194037119548,0.37833333333333335,0.7141666658719381,1.4151281653867134,0.6616579474561671,0.866167316279092,1.4746532800942047,0.6478295120351117,0.8587213399877912
19,2.868369384461463,0.25913621222854055,0.6947674414644209,1.391401489731786,0.6689206987703009,0.8682153797794288,1.463914841862034,0.6487623865299248,0.8596956755540734
