path,wnid,file
n02701002/ILSVRC2012_val_00001910.JPEG,n02701002,ILSVRC2012_val_00001910.JPEG
n02701002/ILSVRC2012_val_00001916.JPEG,n02701002,ILSVRC2012_val_00001916.JPEG
n02701002/ILSVRC2012_val_00003703.JPEG,n02701002,ILSVRC2012_val_00003703.JPEG
n02701002/ILSVRC2012_val_00004496.JPEG,n02701002,ILSVRC2012_val_00004496.JPEG
n02701002/ILSVRC2012_val_00007083.JPEG,n02701002,ILSVRC2012_val_00007083.JPEG
n02701002/ILSVRC2012_val_00008039.JPEG,n02701002,ILSVRC2012_val_00008039.JPEG
n02701002/ILSVRC2012_val_00011186.JPEG,n02701002,ILSVRC2012_val_00011186.JPEG
n02701002/ILSVRC2012_val_00011417.JPEG,n02701002,ILSVRC2012_val_00011417.JPEG
n02701002/ILSVRC2012_val_00013686.JPEG,n02701002,ILSVRC2012_val_00013686.JPEG
n02701002/ILSVRC2012_val_00014110.JPEG,n02701002,ILSVRC2012_val_00014110.JPEG
n02701002/ILSVRC2012_val_00014646.JPEG,n02701002,ILSVRC2012_val_00014646.JPEG
n02701002/ILSVRC2012_val_00016090.JPEG,n02701002,ILSVRC2012_val_00016090.JPEG
n02701002/ILSVRC2012_val_00017171.JPEG,n02701002,ILSVRC2012_val_00017171.JPEG
n02701002/ILSVRC2012_val_00018395.JPEG,n02701002,ILSVRC2012_val_00018395.JPEG
n02701002/ILSVRC2012_val_00018957.JPEG,n02701002,ILSVRC2012_val_00018957.JPEG
n02701002/ILSVRC2012_val_00019837.JPEG,n02701002,ILSVRC2012_val_00019837.JPEG
n02701002/ILSVRC2012_val_00020313.JPEG,n02701002,ILSVRC2012_val_00020313.JPEG
n02701002/ILSVRC2012_val_00020319.JPEG,n02701002,ILSVRC2012_val_00020319.JPEG
n02701002/ILSVRC2012_val_00020333.JPEG,n02701002,ILSVRC2012_val_00020333.JPEG
n02701002/ILSVRC2012_val_00020754.JPEG,n02701002,ILSVRC2012_val_00020754.JPEG
n02701002/ILSVRC2012_val_00020826.JPEG,n02701002,ILSVRC2012_val_00020826.JPEG
n02701002/ILSVRC2012_val_00021146.JPEG,n02701002,ILSVRC2012_val_00021146.JPEG
n02701002/ILSVRC2012_val_00021985.JPEG,n02701002,ILSVRC2012_val_00021985.JPEG
n02701002/ILSVRC2012_val_00024296.JPEG,n02701002,ILSVRC2012_val_00024296.JPEG
n02701002/ILSVRC2012_val_00024658.JPEG,n02701002,ILSVRC2012_val_00024658.JPEG
n02701002/ILSVRC2012_val_00024948.JPEG,n02701002,ILSVRC2012_val_00024948.JPEG
n02701002/ILSVRC2012_val_00025159.JPEG,n02701002,ILSVRC2012_val_00025159.JPEG
n02701002/ILSVRC2012_val_00025443.JPEG,n02701002,ILSVRC2012_val_00025443.JPEG
n02701002/ILSVRC2012_val_00025469.JPEG,n02701002,ILSVRC2012_val_00025469.JPEG
n02701002/ILSVRC2012_val_00026354.JPEG,n02701002,ILSVRC2012_val_00026354.JPEG
n02701002/ILSVRC2012_val_00028205.JPEG,n02701002,ILSVRC2012_val_00028205.JPEG
n02701002/ILSVRC2012_val_00029222.JPEG,n02701002,ILSVRC2012_val_00029222.JPEG
n02701002/ILSVRC2012_val_00029737.JPEG,n02701002,ILSVRC2012_val_00029737.JPEG
n02701002/ILSVRC2012_val_00031635.JPEG,n02701002,ILSVRC2012_val_00031635.JPEG
n02701002/ILSVRC2012_val_00032219.JPEG,n02701002,ILSVRC2012_val_00032219.JPEG
n02701002/ILSVRC2012_val_00032293.JPEG,n02701002,ILSVRC2012_val_00032293.JPEG
n02701002/ILSVRC2012_val_00032472.JPEG,n02701002,ILSVRC2012_val_00032472.JPEG
n02701002/ILSVRC2012_val_00036369.JPEG,n02701002,ILSVRC2012_val_00036369.JPEG
n02701002/ILSVRC2012_val_00038491.JPEG,n02701002,ILSVRC2012_val_00038491.JPEG
n02701002/ILSVRC2012_val_00039523.JPEG,n02701002,ILSVRC2012_val_00039523.JPEG
