path,wnid,file
n03041632/ILSVRC2012_val_00000564.JPEG,n03041632,ILSVRC2012_val_00000564.JPEG
n03041632/ILSVRC2012_val_00000582.JPEG,n03041632,ILSVRC2012_val_00000582.JPEG
n03041632/ILSVRC2012_val_00001964.JPEG,n03041632,ILSVRC2012_val_00001964.JPEG
n03041632/ILSVRC2012_val_00002212.JPEG,n03041632,ILSVRC2012_val_00002212.JPEG
n03041632/ILSVRC2012_val_00003462.JPEG,n03041632,ILSVRC2012_val_00003462.JPEG
n03041632/ILSVRC2012_val_00004379.JPEG,n03041632,ILSVRC2012_val_00004379.JPEG
n03041632/ILSVRC2012_val_00004815.JPEG,n03041632,ILSVRC2012_val_00004815.JPEG
n03041632/ILSVRC2012_val_00006102.JPEG,n03041632,ILSVRC2012_val_00006102.JPEG
n03041632/ILSVRC2012_val_00008526.JPEG,n03041632,ILSVRC2012_val_00008526.JPEG
n03041632/ILSVRC2012_val_00009160.JPEG,n03041632,ILSVRC2012_val_00009160.JPEG
n03041632/ILSVRC2012_val_00009367.JPEG,n03041632,ILSVRC2012_val_00009367.JPEG
n03041632/ILSVRC2012_val_00009369.JPEG,n03041632,ILSVRC2012_val_00009369.JPEG
n03041632/ILSVRC2012_val_00010577.JPEG,n03041632,ILSVRC2012_val_00010577.JPEG
n03041632/ILSVRC2012_val_00010886.JPEG,n03041632,ILSVRC2012_val_00010886.JPEG
n03041632/ILSVRC2012_val_00011081.JPEG,n03041632,ILSVRC2012_val_00011081.JPEG
n03041632/ILSVRC2012_val_00012885.JPEG,n03041632,ILSVRC2012_val_00012885.JPEG
n03041632/ILSVRC2012_val_00014528.JPEG,n03041632,ILSVRC2012_val_00014528.JPEG
n03041632/ILSVRC2012_val_00014608.JPEG,n03041632,ILSVRC2012_val_00014608.JPEG
n03041632/ILSVRC2012_val_00014960.JPEG,n03041632,ILSVRC2012_val_00014960.JPEG
n03041632/ILSVRC2012_val_00015679.JPEG,n03041632,ILSVRC2012_val_00015679.JPEG
n03041632/ILSVRC2012_val_00016901.JPEG,n03041632,ILSVRC2012_val_00016901.JPEG
n03041632/ILSVRC2012_val_00019358.JPEG,n03041632,ILSVRC2012_val_00019358.JPEG
n03041632/ILSVRC2012_val_00020998.JPEG,n03041632,ILSVRC2012_val_00020998.JPEG
n03041632/ILSVRC2012_val_00021297.JPEG,n03041632,ILSVRC2012_val_00021297.JPEG
n03041632/ILSVRC2012_val_00022700.JPEG,n03041632,ILSVRC2012_val_00022700.JPEG
n03041632/ILSVRC2012_val_00024520.JPEG,n03041632,ILSVRC2012_val_00024520.JPEG
n03041632/ILSVRC2012_val_00025279.JPEG,n03041632,ILSVRC2012_val_00025279.JPEG
n03041632/ILSVRC2012_val_00026439.JPEG,n03041632,ILSVRC2012_val_00026439.JPEG
n03041632/ILSVRC2012_val_00026505.JPEG,n03041632,ILSVRC2012_val_00026505.JPEG
n03041632/ILSVRC2012_val_00027427.JPEG,n03041632,ILSVRC2012_val_00027427.JPEG
n03041632/ILSVRC2012_val_00027474.JPEG,n03041632,ILSVRC2012_val_00027474.JPEG
n03041632/ILSVRC2012_val_00027812.JPEG,n03041632,ILSVRC2012_val_00027812.JPEG
n03041632/ILSVRC2012_val_00028494.JPEG,n03041632,ILSVRC2012_val_00028494.JPEG
n03041632/ILSVRC2012_val_00029248.JPEG,n03041632,ILSVRC2012_val_00029248.JPEG
n03041632/ILSVRC2012_val_00029833.JPEG,n03041632,ILSVRC2012_val_00029833.JPEG
n03041632/ILSVRC2012_val_00034599.JPEG,n03041632,ILSVRC2012_val_00034599.JPEG
n03041632/ILSVRC2012_val_00034765.JPEG,n03041632,ILSVRC2012_val_00034765.JPEG
n03041632/ILSVRC2012_val_00037845.JPEG,n03041632,ILSVRC2012_val_00037845.JPEG
n03041632/ILSVRC2012_val_00038320.JPEG,n03041632,ILSVRC2012_val_00038320.JPEG
n03041632/ILSVRC2012_val_00038348.JPEG,n03041632,ILSVRC2012_val_00038348.JPEG
n03041632/ILSVRC2012_val_00038966.JPEG,n03041632,ILSVRC2012_val_00038966.JPEG
n03041632/ILSVRC2012_val_00039665.JPEG,n03041632,ILSVRC2012_val_00039665.JPEG
n03041632/ILSVRC2012_val_00039826.JPEG,n03041632,ILSVRC2012_val_00039826.JPEG
n03041632/ILSVRC2012_val_00040170.JPEG,n03041632,ILSVRC2012_val_00040170.JPEG
n03041632/ILSVRC2012_val_00041660.JPEG,n03041632,ILSVRC2012_val_00041660.JPEG
n03041632/ILSVRC2012_val_00045197.JPEG,n03041632,ILSVRC2012_val_00045197.JPEG
n03041632/ILSVRC2012_val_00046361.JPEG,n03041632,ILSVRC2012_val_00046361.JPEG
n03041632/ILSVRC2012_val_00048029.JPEG,n03041632,ILSVRC2012_val_00048029.JPEG
n03041632/ILSVRC2012_val_00048820.JPEG,n03041632,ILSVRC2012_val_00048820.JPEG
n03041632/ILSVRC2012_val_00048891.JPEG,n03041632,ILSVRC2012_val_00048891.JPEG
n04270147/ILSVRC2012_val_00001587.JPEG,n04270147,ILSVRC2012_val_00001587.JPEG
n04270147/ILSVRC2012_val_00002285.JPEG,n04270147,ILSVRC2012_val_00002285.JPEG
n04270147/ILSVRC2012_val_00003369.JPEG,n04270147,ILSVRC2012_val_00003369.JPEG
n04270147/ILSVRC2012_val_00004044.JPEG,n04270147,ILSVRC2012_val_00004044.JPEG
n04270147/ILSVRC2012_val_00005377.JPEG,n04270147,ILSVRC2012_val_00005377.JPEG
n04270147/ILSVRC2012_val_00006592.JPEG,n04270147,ILSVRC2012_val_00006592.JPEG
